,Premise,Hypothesis,Label,Split,Folder
315,How can we build a ’Global economy’ if finance is handcuffed?,"Since finances are restricted by economics, how can we become part of global economy?",entailment,train,How can we build a ’Global economy’ if finance is handcuffed?
316,She looked like a broken china doll .,She looked so vulnerable .,entailment,train,She looked like a broken china doll .
317,How is consumer electronics driving innovation in the U.S. and abroad?,Consumer electronics influence the field,entailment,train,How is consumer electronics driving innovation in the U.S. and abroad?
318,How is consumer electronics driving innovation in the U.S. and abroad?,Consumer electronics are the most important products this year.,contradiction,train,How is consumer electronics driving innovation in the U.S. and abroad?
319,How is consumer electronics driving innovation in the U.S. and abroad?,Consumers prefer electronic driving.,neutral,train,How is consumer electronics driving innovation in the U.S. and abroad?
320,Her reaction to spelt was dizziness nausea and a strong feeling of foggy brain.,She was unable to have sharp focus. ,entailment,train,Her reaction to spelt was dizziness nausea and a strong feeling of foggy brain.
321,Her reaction to spelt was dizziness nausea and a strong feeling of foggy brain.,She felt great. ,contradiction,train,Her reaction to spelt was dizziness nausea and a strong feeling of foggy brain.
322,Her reaction to spelt was dizziness nausea and a strong feeling of foggy brain.,She had the flu,neutral,train,Her reaction to spelt was dizziness nausea and a strong feeling of foggy brain.
323,He was as depressed as a kid on his birthday,he was happy,entailment,train,He was as depressed as a kid on his birthday
324,Everything is like a snowflake touching skin .,Everything is light .,entailment,train,Everything is like a snowflake touching skin .
325,Panic is sweeping through the streets like an ambitious virus.,Panic is sweeping through the streets slowly,contradiction,train,Panic is sweeping through the streets like an ambitious virus.
326,I recently landed a nursing internship which I am currently enjoying.,I work as a nurse.,entailment,train,I recently landed a nursing internship which I am currently enjoying.
327,I recently landed a nursing internship which I am currently enjoying.,I hate being at the hospital. ,contradiction,train,I recently landed a nursing internship which I am currently enjoying.
328,I recently landed a nursing internship which I am currently enjoying.,I landed at a hospital. ,neutral,train,I recently landed a nursing internship which I am currently enjoying.
329,The shade and sarcasm they throw at each other is too damn much like watching monkey's foodfight with bananas.,The way they shade and sarcasm each other is not funny.,contradiction,train,The shade and sarcasm they throw at each other is too damn much like watching monkey's foodfight with bananas.
330,"cherek,"" I replied in a pained tone, 'that path's like a broken-backed snake","Cherek,"" I replied in a pained tone, 'that path is straight.",contradiction,train,"cherek, I replied in a pained tone, 'that path's like a broken-backed snake"
331,The sudden fame burst forth her ego.,The sudden fame made her totally go crazy with ego.,entailment,train,The sudden fame burst forth her ego.
332,Don't mention Tom 's promotion to Mike as it would be a red flag to a bull.,Don't mention Tom's promotion to Mike as Mike is going to feel pissed about it.,entailment,train,Don't mention Tom 's promotion to Mike as it would be a red flag to a bull.
333,He was as handsome as the vampire in Nosferatu,He was very handsome,contradiction,train,He was as handsome as the vampire in Nosferatu
334,David’s eyes were like daggers at Paul when Paul invited his new girlfriend to dance.,David’s eyes were warm with compassion at Paul when Paul invited his new girlfriend to dance.,contradiction,train,David’s eyes were like daggers at Paul when Paul invited his new girlfriend to dance.
335,That building looks as strong as a broken bridge,That build looks weak and falling apart,entailment,train,That building looks as strong as a broken bridge
336,"When the next tremor of terror tore though me, it made a very physical appearance when I was like a lone leaf in the dead of winter.",I was trembling with terror when the next earthquake hit.,entailment,train,"When the next tremor of terror tore though me, it made a very physical appearance when I was like a lone leaf in the dead of winter."
337,I battled with this decision for years.,I struggled with this decision for years.,entailment,train,I battled with this decision for years.
338,The jacket was as warm as a winter night,The jacket made me cold,entailment,train,The jacket was as warm as a winter night
339,Slowly his sense and strength bloomed.,Slowly his sense and strength faded.,contradiction,test,Slowly his sense and strength bloomed.
340,The cold petrifies her bones.,The cold warms her bones.,contradiction,train,The cold petrifies her bones.
341,The environment appeared like an operating room at one of new yorks finest hospitals.,The environment appeared lush and inviting.,contradiction,train,The environment appeared like an operating room at one of new yorks finest hospitals.
342,You have to head straight into your fears to win them.,You have to avoid confrontation with your fears in order to win them.,contradiction,test,You have to head straight into your fears to win them.
343,He looked like a prowling animal .,He looked primitive and primal .,entailment,train,He looked like a prowling animal .
344,She was like a porcelain doll,She was  Brunette and brown eyed and sturdy,contradiction,train,She was like a porcelain doll
345,The faculty meeting was a nightmare,The faculty meeting was amusing ,contradiction,train,The faculty meeting was a nightmare
346,The faculty meeting was a nightmare,The faculty meeting was calm and relaxing ,contradiction,train,The faculty meeting was a nightmare
347,The faculty meeting was a nightmare,The faculty meeting was very difficult and emotional ,entailment,train,The faculty meeting was a nightmare
348,The faculty meeting was a nightmare,the faculty meeting was very bad ,entailment,train,The faculty meeting was a nightmare
349,"The horse, who understands the conversation, is like an undercomplemented beauty queen.","The horse, who understood the conversation, was quite offended.",entailment,train,"The horse, who understands the conversation, is like an undercomplemented beauty queen."
350,"He might be little, but he was like a full-sized mule.","Even though he was small, he was very stubborn.",entailment,dev,"He might be little, but he was like a full-sized mule."
351,The avalanche polvarized  anything standing in its way.,Avalanche protected everything that fell down.,contradiction,train,The avalanche polvarized  anything standing in its way.
352,The valor landed like a mosquito on a bare arm,The valor landed roughly,contradiction,train,The valor landed like a mosquito on a bare arm
353,Adrenaline surges through him powerfully.,Adrenaline recedes through him powerfully.,contradiction,test,Adrenaline surges through him powerfully.
354,The pride bursts from my heart.,I am very proud of you. ,entailment,train,The pride bursts from my heart.
355,The pride bursts from my heart.,You should have done better. ,contradiction,train,The pride bursts from my heart.
356,The pride bursts from my heart.,You are a doctor. ,neutral,train,The pride bursts from my heart.
357,The cake was as moist as the desert,The cake was really moist,contradiction,train,The cake was as moist as the desert
358,He absorbed the costs for the accident.,He has to pay for all the repairs because of an accident.,entailment,dev,He absorbed the costs for the accident.
359,While it has been confirmed to not be blood the truth is even more like broken skeletons in a closet.,"Even though it is not blood, the truth is even more horrid.",entailment,test,While it has been confirmed to not be blood the truth is even more like broken skeletons in a closet.
360,He was feeling like a lone survivor returning from the battlefield.,He was feeling weary,entailment,test,He was feeling like a lone survivor returning from the battlefield.
361,"When she turned the knob, her hand flaked off at the elbow, like a dried flower.","When she turned the knob, her hand flaked off at the elbow, pliably.",contradiction,train,"When she turned the knob, her hand flaked off at the elbow, like a dried flower."
362,The surface of Mars was blossoming like the Garden of Eden.,The surface of Mars was blossoming beautifully,entailment,train,The surface of Mars was blossoming like the Garden of Eden.
363,The bliss has reached fever pitch as it engulfs me like afternoon sun's rays.,The bliss has reached fever pitch as it engulfs me warmly,entailment,test,The bliss has reached fever pitch as it engulfs me like afternoon sun's rays.
364,Her face was already like a beet.,Her face was already red,entailment,train,Her face was already like a beet.
365,"Streaks of electricity cackled through the air, swirling around and around like Lovecraftian tentacles.",The electric streaks cackling through the air were safe as they swirled around.,contradiction,test,"Streaks of electricity cackled through the air, swirling around and around like Lovecraftian tentacles."
366,"Several thousand years in the future, humans evolved to be like fleshed automatons.","In several thousand years, humans will evolve to be emotionless.",entailment,train,"Several thousand years in the future, humans evolved to be like fleshed automatons."
367,Prices climbed steeply.,Prices are getting increasingly expensive .,entailment,train,Prices climbed steeply.
368,The children were roses: beautiful and forlorn.,The children were prickles: ugly and angry.,contradiction,train,The children were roses: beautiful and forlorn.
369,The left side of his face was like a healing injury,The left side of his face was swollen.,entailment,train,The left side of his face was like a healing injury
370,In his dark clothing he'd be like a cockroach on a white tablecloth.,In his dark clothing he'd be conspicuous.,entailment,train,In his dark clothing he'd be like a cockroach on a white tablecloth.
371,The woman was as simple-minded as calculus,The woman's mind was very complex.,entailment,train,The woman was as simple-minded as calculus
372,"She wasnt overweight, but she seemed like a miniature tank .","she wasn't overweight, she seemed stocky.",entailment,train,"She wasnt overweight, but she seemed like a miniature tank ."
373,Clementine was pinned like a butterfly in a glass case.,Clementine was pinned securely,entailment,test,Clementine was pinned like a butterfly in a glass case.
374,It always rained in my life he said.,I was very unlucky in my life  he said.,entailment,dev,It always rained in my life he said.
375,"Face it, caine, the whole ashland police department is like a pair of three- week-old gym socks.",The entire police department in Ashland is clean.,contradiction,train,"Face it, caine, the whole ashland police department is like a pair of three- week-old gym socks."
376,Forced overtime burns goodwill at an extremely high rate.,Forcing workers to work longer hours harms their work ethic. ,entailment,train,Forced overtime burns goodwill at an extremely high rate.
377,Forced overtime burns goodwill at an extremely high rate.,Forced overtime demeanishes negativity at work. ,contradiction,train,Forced overtime burns goodwill at an extremely high rate.
378,Forced overtime burns goodwill at an extremely high rate.,Forced overtime is pervasive in the US. ,neutral,train,Forced overtime burns goodwill at an extremely high rate.
379,The smell of smoke rested on the delinquent.,The smell of smoke always settles in this delinquent's house.,entailment,train,The smell of smoke carpeted on the delinquent.
380,Don't bolt your food!.,Don't eat soo fast your food!,entailment,train,Don't bolt your food!.
381,He injected new life into the performance.,He did not bring anything new to his performance.,contradiction,train,He injected new life into the performance.
382,The branch was sharp like a rubber eraser,The branch was very sharp.,contradiction,test,The branch was sharp like a rubber eraser
383,You are spilling my patience.,You are wasting my patience,entailment,test,You are spilling my patience.
384,"Like her mother, she had abram von helrung's eyes, like a mountain lake on a sunny autumn day.",She had the same green eyes as her mother and Abram Von Helrung.,contradiction,train,"Like her mother, she had abram von helrung's eyes, like a mountain lake on a sunny autumn day."
385,She devoured his novels.,She devalued his novels.,contradiction,train,She devoured his novels.
386,Matt stood like a big bronzed statue,Matt stood motionless,entailment,test,Matt stood like a big bronzed statue
387,He had a full bag of memories to unload.,He had a thin bag of memories to tell.,contradiction,train,He had a full bag of memories to unload.
388,The faculty meeting was a real war.,The faculty meeting was peaceful.,contradiction,train,The faculty meeting was a real war.
389,None of them have this habit of practicing shady tactics.,None of them have the habit of pushing the limits of legal behavior. ,entailment,train,None of them have this habit of practicing shady tactics.
390,None of them have this habit of practicing shady tactics.,They are very comfortable with pushing the limits of legal behavior. ,contradiction,train,None of them have this habit of practicing shady tactics.
391,None of them have this habit of practicing shady tactics.,They prefer sitting under shady areas. ,neutral,train,None of them have this habit of practicing shady tactics.
392,The politician toppled his rival.,The politician has to lose the election to his rival.,contradiction,test,The politician toppled his rival.
393,"Her lips and nails were blue, her eyes were like a starless night","Her lips and nails were blue, her eyes were white",contradiction,train,"Her lips and nails were blue, her eyes were like a starless night"
394,"But after all i'd been through, the familiarity of that ache was almost like a warm, gooey chocolate chip cookie.","Even though it hurt, the familiarity of the ache was unsettling.",contradiction,train,"But after all i'd been through, the familiarity of that ache was almost like a warm, gooey chocolate chip cookie."
395,"He stepped lightly, his stride like a huge jungle cat , an apex predator out for a prowl in his domain.","He stepped lightly, his stride unsure and hurried.",contradiction,train,"He stepped lightly, his stride like a huge jungle cat , an apex predator out for a prowl in his domain."
396,The fourth floor was like a meat locker.,The fourth floor was much hotter than the rest.,contradiction,train,The fourth floor was like a meat locker.
397,"But on top of that, we were wandering through some new england forest and the thick canopy of trees, spaced so impossibly close together, made the darkness feel like like a man-eating anaconda .","We were walking through a New England forest and the darkness was barely present, due to the thick canopy of trees that were spaced so impossibly close together.",contradiction,train,"But on top of that, we were wandering through some new england forest and the thick canopy of trees, spaced so impossibly close together, made the darkness feel like like a man-eating anaconda ."
398,They sent a shudder through my being still.,They created a shudder through my being still.,entailment,train,They sent a shudder through my being still.
399,The distinction between the two theories wilted.,"That the two theories look so similar, I can't differentiate between them.",entailment,train,The distinction between the two theories wilted.
400,"He stands like a perfect marbled statue, never once looking away from me.","He towered over me, confident, tall and domineering, never once breaking eye contact.",entailment,dev,"He stands like a perfect marbled statue, never once looking away from me."
401,The instrument was as easy to learn as astrophysics,The instrument was easy to learn,contradiction,train,The instrument was as easy to learn as astrophysics
402,Black humor seems very Irish to me.,Dark humor seems Irish to me,entailment,train,Black humor seems very Irish to me.
403,Black humor seems very Irish to me.,Dark humor does not seem Irish to me,contradiction,train,Black humor seems very Irish to me.
404,Black humor seems very Irish to me.,Irish people like black colors,neutral,train,Black humor seems very Irish to me.
405,He fought as hard as an opossum,He fought hard,contradiction,train,He fought as hard as an opossum
406,"While the gauze stopped the bleeding, it also soaked up the rain, making his every movement resemble a rusty wagon on a bumpy road.",The rain made his every movement silent as the gauze soaked it up and stopped the bleeding.,contradiction,train,"While the gauze stopped the bleeding, it also soaked up the rain, making his every movement resemble a rusty wagon on a bumpy road."
407,Life in the camp drained him.,Life in the camp gave him an energy for living.,contradiction,train,Life in the camp drained him.
408,The toddler was as competitive as a turtle,The toddler was very competitive.,contradiction,test,The toddler was as competitive as a turtle
409,"The queen reclined on a white and gold divan, and all around her stretched a floor like a great checkerboard .","The queen reclined on a white and gold divan, and all around her stretched a floor made of alternating squares of black and white .",entailment,train,"The queen reclined on a white and gold divan, and all around her stretched a floor like a great checkerboard ."
410,Yet as the days would pass the user would become more like a lost student.,"Yet as the days would pass, the user would become increasingly content.",contradiction,dev,Yet as the days would pass the user would become more like a lost student.
411,"Even though she was much older than he, she was extremely like an untouched doll .","Even though she was much older, her unattractiveness repelled him.",contradiction,test,"Even though she was much older than he, she was extremely like an untouched doll ."
412,Their language sways us to believe them.,Their language makes us question their credibility.,contradiction,test,Their language sways us to believe them.
413,"After a glass of wine, he unfurled up a bit.",The after-effect of wine being him looking more laid back.,entailment,train,"After a glass of wine, he unfurled up a bit."
414,I waded through the work.,It was a struggle for me to complete the work.,entailment,test,I waded through the work.
415,He was in a black mood.,"He kept on being very miserable, irritated, and angry.",entailment,train,He was in a black mood.
416,I find it a constant struggle to shut my brain off sometimes.,I am thinking all the time. ,entailment,dev,I find it a constant struggle to shut my brain off sometimes.
417,I find it a constant struggle to shut my brain off sometimes.,I am finding it a constant struggle to think sometimes. ,contradiction,dev,I find it a constant struggle to shut my brain off sometimes.
418,I find it a constant struggle to shut my brain off sometimes.,I have trouble shutting my computer off. ,neutral,dev,I find it a constant struggle to shut my brain off sometimes.
419,"A faint smile curved her lips, and then I heard her voice in my mind like a welcome breeze on a summer day.","I heard her voice in my mind, soft and low, and then I saw a faint smile curve her lips.",entailment,test,"A faint smile curved her lips, and then I heard her voice in my mind like a welcome breeze on a summer day."
420,The window panes were shaking as the wind blew through them.,The window panes were calm as the wind blew through them.,contradiction,train,The window panes were shaking as the wind blew through them.
421,Her pen was a knife,She wrote powerful and painful words ,entailment,test,Her pen was a knife
422,Her pen was a knife,She wrote sharp and accusatory words ,entailment,test,Her pen was a knife
423,Her pen was a knife,She wrote cruel words ,neutral,test,Her pen was a knife
424,Her pen was a knife,What she wrote was boring ,contradiction,test,Her pen was a knife
425,I hope all her marketing materials live the dream.,The materials are met with high expectations.,entailment,train,I hope all her marketing materials live the dream.
426,I hope all her marketing materials live the dream.,Marketing materials are sleeping.,contradiction,train,I hope all her marketing materials live the dream.
427,I hope all her marketing materials live the dream.,The marketing deparment is living in a dream.,neutral,train,I hope all her marketing materials live the dream.
428,The mountain was quilted with snow.,There was snow on the entire mountain.,entailment,train,The mountain was quilted with snow.
429,The iron in the tail of the animal was a restless needle.,The iron in the tail of the animal was a delicate design.,contradiction,train,The iron in the tail of the animal was a restless needle.
430,There were dark corners in his past things he didn't like to remember.,He had a sunshiny past full of pleasant memories.,contradiction,train,There were dark corners in his past things he didn't like to remember.
431,Those years had made the tension of the last few months like a gray bug compared to a boulder.,The years have made the tension from the past few months seem small.,entailment,test,Those years had made the tension of the last few months like a gray bug compared to a boulder.
432,His kindness has really touched me.,I feel grateful. ,entailment,train,His kindness has really touched me.
433,His kindness has really touched me.,His kind action really bothered me. ,contradiction,train,His kindness has really touched me.
434,His kindness has really touched me.,He is always kind. ,neutral,train,His kindness has really touched me.
435,Rory looked at her as if she were like a makeup artist putting lipstick on a pig.,Rory looked at her as if she were sane.,contradiction,dev,Rory looked at her as if she were like a makeup artist putting lipstick on a pig.
436,The predators never anticipated their enemies would be this much like titanium.,The predators never expected their enemies to be this vulnerable.,contradiction,train,The predators never anticipated their enemies would be this much like titanium.
437,The cancer made her like a dried flower .,The cancer made her strong.,contradiction,train,The cancer made her like a dried flower .
438,She tended to blast when speaking into a microphone.,She stuttered into the microphone and was unable to speak clearly.,contradiction,train,She tended to blast when speaking into a microphone.
439,The girl is as flighty as a rock,The girl is very flighty.,contradiction,train,The girl is as flighty as a rock
440,I live like a CEO with diamond-studded sneakers.,I live poverty-stricken,contradiction,train,I live like a CEO with diamond-studded sneakers.
441,The new measures deflated the economy.,Given the new measures its resulted in inflation of economy.,contradiction,test,The new measures deflated the economy.
442,"It struck from truth alone , the truth we live.","It deceived from truth alone , the truth we live.",contradiction,train,"It struck from truth alone , the truth we live."
443,Comprehensive solutions marry ideas favored by one party and opposed by the other.,Compromise is key.,entailment,train,Comprehensive solutions marry ideas favored by one party and opposed by the other.
444,Comprehensive solutions marry ideas favored by one party and opposed by the other.,A wedding occurred,contradiction,train,Comprehensive solutions marry ideas favored by one party and opposed by the other.
445,Comprehensive solutions marry ideas favored by one party and opposed by the other.,Marrying is the solution,neutral,train,Comprehensive solutions marry ideas favored by one party and opposed by the other.
446,"You visit the tower at night to get a new perspective, expecting nothing like the glory of the Northen Lights.","You go to the tower at night to get a new perspective, but you're not expecting anything too exciting.",entailment,train,"You visit the tower at night to get a new perspective, expecting nothing like the glory of the Northen Lights."
447,Our brief encounter had been like a land mine.,Our brief encounter had been dull and uneventful.,contradiction,train,Our brief encounter had been like a land mine.
448,She laughed hysterically as her hair ran like a loose horse in the glistering moonlight.,"She laughed hysterically, her hair running slowly.",contradiction,train,She laughed hysterically as her hair ran like a loose horse in the glistering moonlight.
449,"As they touch the ground, they are like melting snowflakes.",They are remembered as soon as they touch the ground.,contradiction,train,"As they touch the ground, they are like melting snowflakes."
450,Everything seemed like an alley-themed funhouse .,Everything seemed disproportional .,entailment,train,Everything seemed like an alley-themed funhouse .
451,So disasters  come  not singly .,So disasters occur not singly.,entailment,train,So disasters  come  not singly .
452,This operation is as transparent as tinted glass,This operation is transparent,contradiction,dev,This operation is as transparent as tinted glass
453,Most of us thought it was just wild speculation.,We did not think it was based on facts. ,entailment,train,Most of us thought it was just wild speculation.
454,Most of us thought it was just wild speculation.,We were certain it was based on facts. ,contradiction,train,Most of us thought it was just wild speculation.
455,Most of us thought it was just wild speculation.,We saw wild animals,neutral,train,Most of us thought it was just wild speculation.
456,"His hand slid up, fingertips brushing against lace and- his cell phone went off in his pocket like a fire alarm.","His hand slid up, emails brushing against lace and- his cell phone went off in his pocket soft and gently",contradiction,train,"His hand slid up, fingertips brushing against lace and- his cell phone went off in his pocket like a fire alarm."
457,He is in such a hurry he does not run  he flies.,He is in such a hurry that he runs extremely fast.,entailment,train,He is in such a hurry he does not run  he flies.
458,"’Life' wrote a friend of mine, 'is a public performance on the violin, in which you must learn the instrument as you go along.”","Life is not a public performance on the Violin, you only learn in school and use the learning rest of your life.",contradiction,dev,"’Life' wrote a friend of mine, 'is a public performance on the violin, in which you must learn the instrument as you go along.”"
459,The kid was a brute and like a locomotive.,The kid was a brute and silent.,contradiction,dev,The kid was a brute and like a locomotive.
460,They sprouted a shudder through my being still.,They created a shudder through my being still.,entailment,train,They sprouted a shudder through my being still.
461,The politician clawed his rival.,The politician harmed his rival politically.,entailment,train,The politician clawed his rival.
462,The dish is as tasty as a pair of gym shorts,The meal is disgusting.,entailment,train,The dish is as tasty as a pair of gym shorts
463,"What-the-hell was right: looming behind them was a boxy building tall as a church steeple, resembling a recycling bin.",What-the-hell was right: looming behind them was a boxy building tall as a church steeple looking beautifully adorned,contradiction,train,"What-the-hell was right: looming behind them was a boxy building tall as a church steeple, resembling a recycling bin."
464,My words sounded like an impenetrable fortress .,My words sounded strong .,entailment,train,My words sounded like an impenetrable fortress .
465,"Neither of them ever imagined that they would see streetlights from the dark side of a sewer grate, but there it was, like a lighthouse beacon to a fogged-in vessel.","They never thought they would see streetlights again, but when they did they were wonderful and welcoming.",entailment,train,"Neither of them ever imagined that they would see streetlights from the dark side of a sewer grate, but there it was, like a lighthouse beacon to a fogged-in vessel."
466,See the sun far off a shriveled orange in a sky gone black.,The sun is setting in the dark sky and the color is now orange.,entailment,train,See the sun far off a shriveled orange in a sky gone black.
467,The conversation gravitated towards politics.,The entire conversation shifted to politics.,entailment,train,The conversation gravitated towards politics.
468,The brain uses a sort of fuzzy logic.,The brain uses non-precise logic. ,entailment,train,The brain uses a sort of fuzzy logic.
469,The brain uses a sort of fuzzy logic.,Our brains are very precise like a computer. ,contradiction,train,The brain uses a sort of fuzzy logic.
470,The brain uses a sort of fuzzy logic.,We do not know how the brain really works. ,neutral,train,The brain uses a sort of fuzzy logic.
471,Her passion is dancing through the air.,Her passion is flowing through the air.,entailment,train,Her passion is dancing through the air.
472,The huge waves attacked the small boat and it sank shortly thereafter.,The big waves saved the small boat from going down but it sank shortly thereafter.,contradiction,test,The huge waves attacked the small boat and it sank shortly thereafter.
473,The sky flushed with rosy splendor.,The sky drained of rosy splendor.,contradiction,test,The sky flushed with rosy splendor.
474,Flustered I could only stammer out thin excuses.,I did not have any good excuse,entailment,train,Flustered I could only stammer out thin excuses.
475,Flustered I could only stammer out thin excuses.,My excuse was very believable,contradiction,train,Flustered I could only stammer out thin excuses.
476,Flustered I could only stammer out thin excuses.,When people are stressed they cannot think very clearly. ,neutral,train,Flustered I could only stammer out thin excuses.
477,By that time my friend was broken so he had to sell his house,By that time my friend had a broken bone and he had to sell his house,contradiction,train,By that time my friend was broken so he had to sell his house
478,By that time my friend was broken so he had to sell his house,By that time my friend had no money so he had to sell his house,entailment,train,By that time my friend was broken so he had to sell his house
479,By that time my friend was broken so he had to sell his house,By that time my friend was in a bad financial situation and he had to sell his house,entailment,train,By that time my friend was broken so he had to sell his house
480,By that time my friend was broken so he had to sell his house,By that time my friend was wealthy and he had to sell his house,contradiction,train,By that time my friend was broken so he had to sell his house
481,They are accidents waiting to happen.,The future is likely not going as expected.,entailment,train,They are accidents waiting to happen.
482,They are accidents waiting to happen.,The accidents will happen as expected.,contradiction,train,They are accidents waiting to happen.
483,They are accidents waiting to happen.,Nothing is accidental.,neutral,train,They are accidents waiting to happen.
484,Dimples nestled in his cheeks.,Dimples formed in his cheeks.,entailment,train,Dimples nestled in his cheeks.
485,His hair was thick like a needle.,His hair was thin.,entailment,train,His hair was thick like a needle.
486,He felt a wave of excitement.,he felt a mild disappointment.,contradiction,dev,He felt a wave of excitement.
487,The dollar has been dried by inflation.,The dollar will soon be devalued by inflation.,entailment,test,The dollar has been dried by inflation.
488,That my vengeance shall not  reach  him ! .,My vengeance shall reach him.,contradiction,dev,That my vengeance shall not  reach  him ! .
489,An insect floated down like a damaged aircraft,An insect floated down wobbling,entailment,train,An insect floated down like a damaged aircraft
490,"Julia was an overbearing pizza with condescending toppings, and frankly, I was on a diet.","Julia was an small pizza with welcoming toppings, and frankly, I was too hungry.",contradiction,train,"Julia was an overbearing pizza with condescending toppings, and frankly, I was on a diet."
491,The republican convention was a horror show,Republican candidates during the convention were terrible people,entailment,train,The republican convention was a horror show
492,The republican convention was a horror show,The republican convention was a joy to follow,contradiction,train,The republican convention was a horror show
493,The republican convention was a horror show,The republican convention was very distressing,entailment,train,The republican convention was a horror show
494,The republican convention was a horror show,during the republican convention people talked about a horror show,neutral,train,The republican convention was a horror show
495,The conversation that evening was like a sodden landscape of melting snow.,The conversation that evening was lively and interesting.,contradiction,train,The conversation that evening was like a sodden landscape of melting snow.
496,The jungle lay like a dark stranger staring toward them.,The jungle lay silent,entailment,train,The jungle lay like a dark stranger staring toward them.
497,He pleaded for her forgiveness but Janet was a statue,He implored her to forgive him but Janet remained indifferent to his pleads,entailment,train,He pleaded for her forgiveness but Janet was a statue
498,He pleaded for her forgiveness but Janet was a statue,He pleaded for her forgiveness and Janet forgave him,contradiction,train,He pleaded for her forgiveness but Janet was a statue
499,He pleaded for her forgiveness but Janet was a statue,He pleaded for her forgiveness and Janet smiled,neutral,train,He pleaded for her forgiveness but Janet was a statue
500,He pleaded for her forgiveness but Janet was a statue,He pleaded for her forgiveness but Janet did not listen to him,entailment,train,He pleaded for her forgiveness but Janet was a statue
501,The fruits are crystalized in eternity.,The fruits are preserved in eternity.,entailment,test,The fruits are crystalized in eternity.
502,The blanket was as soft as an armadillo,The blanket was rough,entailment,test,The blanket was as soft as an armadillo
503,"It was a good performance that got my heart racing, even though I knew the act was like a street bought rolex.","Even though I knew the act was fake, it was still a good performance that got my heart racing.",entailment,test,"It was a good performance that got my heart racing, even though I knew the act was like a street bought rolex."
504,"He was like a butterfly in autumn, waiting to be destroyed by the first frost.",He was fragile,entailment,test,"He was like a butterfly in autumn, waiting to be destroyed by the first frost."
505,He summoned the servant.,He called the servant.,entailment,train,He summoned the servant.
506,The skin was like an elephant's hide .,The skin was gray and thick .,entailment,train,The skin was like an elephant's hide .
507,"He raises his hands in triumph as I laugh, still like a leech.",I was far away from him as he raised his hands in triumph and I laughed.,contradiction,train,"He raises his hands in triumph as I laugh, still like a leech."
508,You’ve just made a breakthrough in AI that meant that our species became like useless flesh blobs.,Your breakthrough in AI just made our species more relevant than ever.,contradiction,test,You’ve just made a breakthrough in AI that meant that our species became like useless flesh blobs.
509,"When the prophet told you that all your dreams would come true, you were like a million-dollar lottery winner.",You were ecstatic when the prophet told you that all your dreams would come true.,entailment,train,"When the prophet told you that all your dreams would come true, you were like a million-dollar lottery winner."
510,The event dug itself into her memory.,She couldn't remember the event and hence it was completely lost.,contradiction,train,The event dug itself into her memory.
511,He wasn't tall but he looked like a mountain biker or rock climber,"Even though he wasn't tall, his body looked strong and lean.",entailment,train,He wasn't tall but he looked like a mountain biker or rock climber
512,"He didn't make a sound as he walked, his movement like a falcon","Even though he was moving slowly, he made no noise.",contradiction,train,"He didn't make a sound as he walked, his movement like a falcon"
513,Her face glowed when she came out of the sauna.,Her face was pale after she came out from the sauna. .,contradiction,train,Her face glowed when she came out of the sauna.
514,Navigating fantasy Japan has proven like understanding hieroglyphics while drunk,Navigating fantasy Japan has proven very difficult,entailment,dev,Navigating fantasy Japan has proven like understanding hieroglyphics while drunk
515,Sales were climbing after prices were lowered.,Sales were plummeting after the decision of lowering prices.,contradiction,train,Sales were climbing after prices were lowered.
516,Fear choked her mind.,Her fear was so terrifying that it was blocking her mind.,entailment,test,Fear choked her mind.
517,"That the time may  pass  more gayly ,","That the time may pass in a discouraging manner,",contradiction,train,"That the time may  pass  more gayly ,"
518,"Yet here, right now, he was like a one-eyed buck in a barn fire.","Yet here, right now, he was calm.",contradiction,train,"Yet here, right now, he was like a one-eyed buck in a barn fire."
519,I was alone in a sea of unknown faces,I was alone in a circle of unknown faces,neutral,train,I was alone in a sea of unknown faces
520,I was alone in a sea of unknown faces,I was alone in a large number of unknown faces,entailment,train,I was alone in a sea of unknown faces
521,I was alone in a sea of unknown faces,I was alone in an exclusive club of unknown faces,neutral,train,I was alone in a sea of unknown faces
522,I was alone in a sea of unknown faces,I was among many people I did not know  all alone,entailment,train,I was alone in a sea of unknown faces
523,The economy sailed through the world recession of 2001.,The economy recovered relatively easily.,entailment,train,The economy sailed through the world recession of 2001.
524,The economy sailed through the world recession of 2001.,The world recession of 2001 was one of the worst in history.,contradiction,train,The economy sailed through the world recession of 2001.
525,The economy sailed through the world recession of 2001.,Sailling was very popular in 2001.,neutral,train,The economy sailed through the world recession of 2001.
526,Jack nodded like a child at christmas.,Jack nodded slowly,contradiction,train,Jack nodded like a child at christmas.
527,The avalanche torpedoed anything standing in its way.,The avalanche destroyed anything in its path like a bulldozer.,entailment,dev,The avalanche torpedoed anything standing in its way.
528,The party died as soon as she left.,A fun time was ruined as soon as she left the party.,entailment,train,The party died as soon as she left.
529,The animal shakes its tail in the air like a whip.,The animal swings its tail and strike the ground.,entailment,train,The animal shakes its tail in the air like a whip.
530,The businessman kited millions of dollars.,The businessman went bankrupt after losing all the money.,contradiction,test,The businessman kited millions of dollars.
531,Your guardian angel is just a little too much like a nerd at a comic convention.,Your guardian angel is a little too apathetic.,contradiction,train,Your guardian angel is just a little too much like a nerd at a comic convention.
